id,lon,lat,yagis
866,38.51,31.91,0.112424
867,38.51,31.95,0.111576
868,38.51,31.99,0.110795
869,38.51,32.03,0.122386
870,38.51,32.07,0.136496
871,38.55,29.79,0.041514
872,38.55,29.83,0.041657
873,38.55,29.87,0.040941
874,38.55,29.91,0.035044
875,38.55,29.95,0.029238
876,38.55,29.99,0.025782
877,38.55,30.03,0.03348
878,38.55,30.07,0.041191
879,38.55,30.11,0.047261
880,38.55,30.15,0.047197
881,38.55,30.19,0.047321
882,38.55,30.23,0.0472
883,38.55,30.27,0.046095
884,38.55,30.31,0.045376
885,38.55,30.35,0.05186
886,38.55,30.39,0.075115
887,38.55,30.43,0.098232
888,38.55,30.47,0.114076
889,38.55,30.51,0.115385
890,38.55,30.55,0.11677
891,38.55,30.59,0.097556
892,38.55,30.63,0.054661
893,38.55,30.67,0.028921
894,38.55,30.71,0.0269
895,38.55,30.75,0.054631
896,38.55,30.79,0.097692
897,38.55,30.83,0.123182
898,38.55,30.87,0.110468
899,38.55,30.91,0.0978
900,38.55,30.95,0.090599
901,38.55,30.99,0.089133
902,38.55,31.03,0.087802
903,38.55,31.07,0.085758
904,38.55,31.11,0.083084
905,38.55,31.15,0.080514
906,38.55,31.19,0.078256
907,38.55,31.23,0.076327
908,38.55,31.27,0.074599
909,38.55,31.31,0.022449
910,38.55,31.35,-0.013296
911,38.55,31.39,-0.030003
912,38.55,31.43,-0.040174
913,38.55,31.47,-0.047737
914,38.55,31.51,-0.053604
915,38.55,31.55,-0.045782
916,38.55,31.59,-0.021446
917,38.55,31.63,0.050094
918,38.55,31.67,0.111646
919,38.55,31.71,0.127315
920,38.55,31.75,0.1427
921,38.55,31.79,0.137549
922,38.55,31.83,0.126289
923,38.55,31.87,0.114812
