NAME,KEY,H0160001,H0160002,H0160003,H0160004,H0160005,H0160006,H0160007,H0160008,H0160009,H0160010,H0160011,H0160012,H0160013,H0160014,H0160015,H0160016,H0160017,H0040001,P0030001,STATE,COUNTY,TRACT,BLKGRP,BLOCK
Block 3035,36109309723096100220033035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,002200,3,3035
Block 3039,36109309723096100220033039,39,31,5,12,11,2,1,0,0,8,3,2,0,3,0,0,0,39,94,36,109,002200,3,3039
Block 1000,36109309729999900210011000,52,47,7,19,9,9,3,0,0,5,2,3,0,0,0,0,0,52,131,36,109,002100,1,1000
Block 1001,36109309729999900210011001,19,16,1,10,2,2,1,0,0,3,1,1,0,0,0,1,0,19,49,36,109,002100,1,1001
Block 1002,36109309729999900210011002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,002100,1,1002
Block 1003,36109309729999900210011003,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,36,109,002100,1,1003
Block 1004,36109309729999900210011004,5,4,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,5,15,36,109,002100,1,1004
Block 1005,36109309729999900210011005,11,10,0,4,4,2,0,0,0,1,0,1,0,0,0,0,0,11,30,36,109,002100,1,1005
Block 1006,36109309729999900210011006,22,14,1,5,5,2,1,0,0,8,5,2,0,0,0,1,0,22,54,36,109,002100,1,1006
Block 1007,36109309729999900210011007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,002100,1,1007
Block 1008,36109309729999900210011008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,002100,1,1008
Block 1009,36109309729999900210011009,7,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,36,109,002100,1,1009
Block 1010,36109309729999900210011010,3,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,8,36,109,002100,1,1010
Block 1011,36109309729999900210011011,13,11,3,4,2,1,1,0,0,2,1,1,0,0,0,0,0,13,29,36,109,002100,1,1011
Block 1012,36109309729999900210011012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,002100,1,1012
Block 1013,36109309729999900210011013,4,0,0,0,0,0,0,0,0,4,1,2,0,0,0,1,0,4,11,36,109,002100,1,1013
Block 1014,36109309729999900210011014,13,6,2,2,2,0,0,0,0,7,4,1,0,1,0,0,1,13,29,36,109,002100,1,1014
Block 1015,36109309729999900210011015,35,28,2,15,7,3,1,0,0,7,2,2,1,0,1,1,0,35,90,36,109,002100,1,1015
Block 1016,36109309729999900210011016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,002100,1,1016
Block 1017,36109309729999900210011017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,002100,1,1017
Block 1018,36109309729999900210011018,7,7,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,7,16,36,109,002100,1,1018
Block 1019,36109309729999900210011019,22,18,2,7,3,4,1,1,0,4,1,1,0,0,1,0,1,22,75,36,109,002100,1,1019
Block 1020,36109309729999900210011020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,002100,1,1020
Block 1000,36109309729999900220011000,7,4,0,3,0,0,1,0,0,3,1,1,1,0,0,0,0,7,17,36,109,002200,1,1000
Block 1001,36109309729999900220011001,5,4,0,1,2,0,0,0,1,1,0,0,0,1,0,0,0,5,19,36,109,002200,1,1001
Block 1002,36109309729999900220011002,3,2,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,3,9,36,109,002200,1,1002
Block 1003,36109309729999900220011003,7,6,0,4,1,1,0,0,0,1,0,1,0,0,0,0,0,7,17,36,109,002200,1,1003
Block 1004,36109309729999900220011004,5,5,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,5,13,36,109,002200,1,1004
Block 1005,36109309729999900220011005,20,16,0,7,3,2,2,1,1,4,1,1,1,1,0,0,0,20,64,36,109,002200,1,1005
Block 1006,36109309729999900220011006,11,9,3,0,3,0,3,0,0,2,1,0,1,0,0,0,0,11,31,36,109,002200,1,1006
Block 1007,36109309729999900220011007,17,15,2,4,2,5,1,0,1,2,1,0,1,0,0,0,0,17,52,36,109,002200,1,1007
Block 1008,36109309729999900220011008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,002200,1,1008
Block 1009,36109309729999900220011009,19,18,1,5,3,4,3,0,2,1,0,0,1,0,0,0,0,19,70,36,109,002200,1,1009
Block 1010,36109309729999900220011010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,002200,1,1010
Block 1011,36109309729999900220011011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,002200,1,1011
Block 1012,36109309729999900220011012,24,24,4,9,6,4,0,0,1,0,0,0,0,0,0,0,0,24,63,36,109,002200,1,1012
Block 1013,36109309729999900220011013,7,6,0,5,1,0,0,0,0,1,1,0,0,0,0,0,0,7,14,36,109,002200,1,1013
Block 1014,36109309729999900220011014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,002200,1,1014
Block 1015,36109309729999900220011015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,002200,1,1015
Block 1016,36109309729999900220011016,14,13,3,2,3,5,0,0,0,1,0,0,0,0,0,1,0,14,42,36,109,002200,1,1016
Block 1017,36109309729999900220011017,11,11,1,5,3,2,0,0,0,0,0,0,0,0,0,0,0,11,28,36,109,002200,1,1017
Block 1018,36109309729999900220011018,15,14,2,5,3,2,2,0,0,1,0,0,0,1,0,0,0,15,43,36,109,002200,1,1018
Block 1019,36109309729999900220011019,12,11,1,6,2,1,1,0,0,1,1,0,0,0,0,0,0,12,29,36,109,002200,1,1019
Block 1020,36109309729999900220011020,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,36,109,002200,1,1020
Block 1021,36109309729999900220011021,12,12,1,5,0,2,3,1,0,0,0,0,0,0,0,0,0,12,40,36,109,002200,1,1021
Block 1022,36109309729999900220011022,3,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,7,36,109,002200,1,1022
Block 1023,36109309729999900220011023,29,26,3,12,4,3,3,1,0,3,0,0,2,1,0,0,0,29,82,36,109,002200,1,1023
Block 1024,36109309729999900220011024,2,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2,7,36,109,002200,1,1024
Block 1025,36109309729999900220011025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,002200,1,1025
